GO,Cluster,Function
GO:1903954,46,P:positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization
GO:1901207,23,P:regulation of heart looping
GO:0046546,23,P:development of primary male sexual characteristics
GO:1904120,42,P:positive regulation of otic vesicle morphogenesis
GO:0046057,11,P:dADP catabolic process
GO:0046067,11,P:dGDP catabolic process
GO:0006294,43,"P:nucleotide-excision repair, preincision complex assembly"
GO:1905090,39,P:negative regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
GO:0015805,23,P:S-adenosyl-L-methionine transport
GO:0021687,23,P:cerebellar molecular layer morphogenesis
GO:0110026,23,P:regulation of DNA strand resection involved in replication fork processing
GO:2001178,43,P:positive regulation of mediator complex assembly
GO:0014052,23,P:regulation of gamma-aminobutyric acid secretion
GO:0033345,11,P:asparagine catabolic process via L-aspartate
GO:0016073,4,P:snRNA metabolic process
GO:0040031,23,P:snRNA modification
GO:0019918,23,"P:peptidyl-arginine methylation, to symmetrical-dimethyl arginine"
GO:1904697,32,P:regulation of acinar cell proliferation
GO:1904002,32,P:regulation of sebum secreting cell proliferation
GO:0019319,17,P:hexose biosynthetic process
GO:0009200,4,P:deoxyribonucleoside triphosphate metabolic process
GO:1903825,20,P:organic acid transmembrane transport
GO:0097476,23,P:spinal cord motor neuron migration
GO:0035992,23,P:tendon formation
GO:0140354,23,P:lipid import into cell
GO:0060566,42,P:positive regulation of termination of DNA-templated transcription
GO:2000806,21,"P:positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled"
GO:0071660,42,P:positive regulation of IP-10 production
GO:0071908,23,P:determination of intestine left/right asymmetry
GO:0071909,23,P:determination of stomach left/right asymmetry
GO:2000167,23,P:regulation of planar cell polarity pathway involved in neural tube closure
GO:1904055,39,P:negative regulation of cholangiocyte proliferation
GO:2001051,30,P:positive regulation of tendon cell differentiation
GO:0021509,23,P:roof plate formation
GO:0060232,23,P:delamination
GO:0060234,23,P:neuroblast delamination
GO:0071922,23,P:regulation of cohesin loading
GO:0043370,47,"P:regulation of CD4-positive, alpha-beta T cell differentiation"
GO:1905513,39,P:negative regulation of short-term synaptic potentiation
GO:0002100,23,P:tRNA wobble adenosine to inosine editing
GO:0001112,48,P:DNA-templated transcription open complex formation
GO:0055113,23,P:epiboly involved in gastrulation with mouth forming second
GO:0016094,17,P:polyprenol biosynthetic process
GO:0036325,45,P:vascular endothelial growth factor receptor-3 signaling pathway
GO:0060481,23,P:lobar bronchus epithelium development
GO:0018021,23,P:peptidyl-histidine methylation
GO:0070472,26,P:regulation of uterine smooth muscle contraction
GO:1904247,42,P:positive regulation of polynucleotide adenylyltransferase activity
GO:0022607,23,P:cellular component assembly
GO:0043973,38,P:histone H3-K4 acetylation
GO:1904777,8,P:negative regulation of protein localization to cell cortex
GO:0098725,23,P:symmetric cell division
GO:0032379,42,P:positive regulation of intracellular lipid transport
GO:0032023,23,P:trypsinogen activation
GO:0140253,23,P:cell-cell fusion
GO:0021503,23,P:neural fold bending
GO:0032196,23,P:transposition
GO:0080121,23,P:AMP transport
GO:0035349,20,P:coenzyme A transmembrane transport
GO:0097213,23,P:regulation of lysosomal membrane permeability
GO:1905869,39,P:negative regulation of 3'-UTR-mediated mRNA stabilization
GO:2000212,4,P:negative regulation of glutamate metabolic process
GO:1903457,11,P:lactate catabolic process
GO:1902465,38,P:negative regulation of histone H3-K27 trimethylation
GO:1902415,23,P:regulation of mRNA binding
GO:0044725,23,P:chromatin reprogramming in the zygote
GO:0033609,4,P:oxalate metabolic process
GO:0046360,17,P:2-oxobutyrate biosynthetic process
GO:0009071,11,P:serine family amino acid catabolic process
GO:1904328,23,P:regulation of myofibroblast contraction
GO:0015744,23,P:succinate transport
GO:0060470,41,P:positive regulation of cytosolic calcium ion concentration involved in egg activation
GO:0090104,30,P:pancreatic epsilon cell differentiation
GO:0071622,23,P:regulation of granulocyte chemotaxis
GO:0090321,42,P:positive regulation of chylomicron remnant clearance
GO:1900542,4,P:regulation of purine nucleotide metabolic process
GO:0031125,23,P:rRNA 3'-end processing
GO:1903830,20,P:magnesium ion transmembrane transport
GO:0021563,23,P:glossopharyngeal nerve development
GO:0003025,33,P:regulation of systemic arterial blood pressure by baroreceptor feedback
GO:0021564,23,P:vagus nerve development
GO:0009914,23,P:hormone transport
GO:0015913,20,P:short-chain fatty acid transmembrane transport
GO:1904997,23,P:regulation of leukocyte adhesion to arterial endothelial cell
GO:0048073,23,P:regulation of eye pigmentation
GO:0110051,23,P:metabolite repair
GO:0043063,23,P:intercellular bridge organization
GO:0070861,27,P:regulation of protein exit from endoplasmic reticulum
GO:1904152,23,"P:regulation of retrograde protein transport, ER to cytosol"
GO:0002329,30,P:pre-B cell differentiation
GO:0046649,23,P:lymphocyte activation
GO:0006539,11,P:glutamate catabolic process via 2-oxoglutarate
GO:0060377,37,P:negative regulation of mast cell differentiation
GO:0002295,23,P:T-helper cell lineage commitment
GO:0099500,49,P:vesicle fusion to plasma membrane
GO:0061433,12,P:cellular response to caloric restriction
GO:0070446,39,P:negative regulation of oligodendrocyte progenitor proliferation
GO:0036179,23,P:osteoclast maturation
GO:0051174,4,P:regulation of phosphorus metabolic process
GO:0060330,23,P:regulation of response to type II interferon
GO:1904733,39,P:negative regulation of electron transfer activity
GO:1904736,39,P:negative regulation of fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0098813,23,P:nuclear chromosome segregation
GO:0045339,11,P:farnesyl diphosphate catabolic process
GO:0033383,4,P:geranyl diphosphate metabolic process
GO:1902247,11,P:geranylgeranyl diphosphate catabolic process
GO:0035946,23,P:mitochondrial mRNA surveillance
GO:0035945,23,P:mitochondrial ncRNA surveillance
GO:2000827,23,P:mitochondrial RNA surveillance
GO:0097310,23,P:cap2 mRNA methylation
GO:0036351,23,P:histone H2A-K13 ubiquitination
GO:0036352,23,P:histone H2A-K15 ubiquitination
GO:1905349,23,P:ciliary transition zone assembly
GO:1905667,27,P:negative regulation of protein localization to endosome
GO:0032826,30,P:regulation of natural killer cell differentiation involved in immune response
GO:1905795,12,P:cellular response to puromycin
GO:1903317,27,P:regulation of protein maturation
GO:0043954,23,P:cellular component maintenance
GO:2001015,28,P:negative regulation of skeletal muscle cell differentiation
GO:1900239,23,P:regulation of phenotypic switching
GO:0045769,39,P:negative regulation of asymmetric cell division
GO:1900054,17,P:positive regulation of retinoic acid biosynthetic process
GO:0060431,23,P:primary lung bud formation
GO:0042352,23,P:GDP-L-fucose salvage
GO:1903350,23,P:response to dopamine
GO:0106121,4,P:positive regulation of cobalamin metabolic process
GO:0106064,4,P:regulation of cobalamin metabolic process
GO:0048698,39,P:negative regulation of collateral sprouting in absence of injury
GO:0070267,23,P:oncosis
GO:1904221,39,P:negative regulation of serine C-palmitoyltransferase activity
GO:1903780,39,P:negative regulation of cardiac conduction
GO:0002220,45,P:innate immune response activating cell surface receptor signaling pathway
GO:0035844,23,P:cloaca development
GO:0070121,23,P:Kupffer's vesicle development
GO:0030862,6,P:positive regulation of polarized epithelial cell differentiation
GO:0039023,23,P:pronephric duct morphogenesis
GO:0039008,23,P:pronephric nephron tubule morphogenesis
GO:0061400,21,P:positive regulation of transcription from RNA polymerase II promoter in response to calcium ion
GO:0048611,23,P:embryonic ectodermal digestive tract development
GO:0043383,23,P:negative T cell selection
GO:1901625,12,P:cellular response to ergosterol
GO:0034474,23,P:U2 snRNA 3'-end processing
GO:0048789,23,P:cytoskeletal matrix organization at active zone
GO:0097115,23,P:neurexin clustering involved in presynaptic membrane assembly
GO:1905048,23,P:regulation of metallopeptidase activity
GO:0090296,36,P:regulation of mitochondrial DNA replication
GO:0035750,8,P:protein localization to myelin sheath abaxonal region
GO:1905355,23,P:spine apparatus assembly
GO:0071031,23,P:nuclear mRNA surveillance of mRNA 3'-end processing
GO:0098038,23,"P:non-replicative transposition, DNA-mediated"
GO:0002578,25,P:negative regulation of antigen processing and presentation
GO:1905875,39,P:negative regulation of postsynaptic density organization
GO:0090246,23,P:convergent extension involved in somitogenesis
GO:2000080,13,P:negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation
GO:0044345,6,P:stromal-epithelial cell signaling involved in prostate gland development
GO:0035382,20,P:sterol transmembrane transport
GO:0035498,4,P:carnosine metabolic process
GO:0055082,23,P:intracellular chemical homeostasis
GO:0043461,43,P:proton-transporting ATP synthase complex assembly
GO:1901605,4,P:alpha-amino acid metabolic process
GO:0015730,20,P:propanoate transmembrane transport
GO:0089708,23,P:L-histidine transmembrane export from vacuole
GO:0033023,37,P:mast cell homeostasis
GO:0071704,4,P:organic substance metabolic process
GO:0050652,17,"P:dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process"
GO:0090220,23,P:chromosome localization to nuclear envelope involved in homologous chromosome segregation
GO:0090172,23,P:microtubule cytoskeleton organization involved in homologous chromosome segregation
GO:0034397,23,P:telomere localization
GO:0042543,23,P:protein N-linked glycosylation via arginine
GO:0036115,11,P:fatty-acyl-CoA catabolic process
GO:2000209,23,P:regulation of anoikis
GO:0042181,17,P:ketone biosynthetic process
GO:0003353,42,P:positive regulation of cilium movement
GO:0006844,23,P:acyl carnitine transport
GO:0034345,39,P:negative regulation of type III interferon production
GO:0106342,17,P:omega-hydroxyceramide biosynthetic process
GO:0070060,23,P:'de novo' actin filament nucleation
GO:0032788,4,P:saturated monocarboxylic acid metabolic process
GO:0032789,4,P:unsaturated monocarboxylic acid metabolic process
GO:0140329,23,P:lysophospholipid translocation
GO:0150175,4,P:regulation of phosphatidylethanolamine metabolic process
GO:0150178,4,P:regulation of phosphatidylserine metabolic process
GO:1905456,30,P:regulation of lymphoid progenitor cell differentiation
GO:0021528,23,P:commissural neuron differentiation in spinal cord
GO:0032802,3,P:low-density lipoprotein particle receptor catabolic process
GO:1905596,3,P:negative regulation of low-density lipoprotein particle receptor binding
GO:0046713,23,P:borate transport
GO:0140570,23,P:extraction of mislocalized protein from mitochondrial outer membrane
GO:0033320,17,P:UDP-D-xylose biosynthetic process
GO:0050655,4,P:dermatan sulfate proteoglycan metabolic process
GO:0046496,4,P:nicotinamide nucleotide metabolic process
GO:0043630,11,P:ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process
GO:0071050,23,P:sno(s)RNA polyadenylation
GO:0035611,23,P:protein branching point deglutamylation
GO:0051631,23,P:regulation of acetylcholine uptake
GO:0060623,23,P:regulation of chromosome condensation
GO:1901594,23,P:response to capsazepine
GO:0042636,39,P:negative regulation of hair cycle
GO:0045625,30,P:regulation of T-helper 1 cell differentiation
GO:2001246,1,P:negative regulation of phosphatidylcholine biosynthetic process
GO:0061485,32,P:memory T cell proliferation
GO:0006747,17,P:FAD biosynthetic process
GO:1901723,2,P:negative regulation of cell proliferation involved in kidney development
GO:1901859,36,P:negative regulation of mitochondrial DNA metabolic process
GO:1904220,23,P:regulation of serine C-palmitoyltransferase activity
GO:0098705,49,P:copper ion import across plasma membrane
GO:0007630,23,P:jump response
GO:1904034,42,P:positive regulation of t-SNARE clustering
GO:0061931,42,P:positive regulation of erythrocyte enucleation
GO:1902838,23,P:regulation of nuclear migration along microtubule
GO:1903775,23,P:regulation of DNA double-strand break processing
GO:1904240,43,P:negative regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly
GO:0045584,30,P:negative regulation of cytotoxic T cell differentiation
GO:2001193,35,P:positive regulation of gamma-delta T cell activation involved in immune response
GO:0021592,23,P:fourth ventricle development
GO:0021993,23,P:initiation of neural tube closure
GO:0048086,39,P:negative regulation of developmental pigmentation
GO:0098542,23,P:defense response to other organism
GO:1902525,27,P:regulation of protein monoubiquitination
GO:0048560,23,P:establishment of anatomical structure orientation
GO:2000324,45,P:positive regulation of glucocorticoid receptor signaling pathway
GO:0048621,23,P:post-embryonic digestive tract morphogenesis
GO:0048389,23,P:intermediate mesoderm development
GO:0072143,22,P:mesangial cell development
GO:0090094,32,P:metanephric cap mesenchymal cell proliferation involved in metanephros development
GO:0072259,23,P:metanephric interstitial fibroblast development
